Mês;Ano de din_instante;data;Fator de Carga
janeiro;2022;01/01/2022;0,233590048
fevereiro;2022;01/02/2022;0,249989272
março;2022;01/03/2022;0,245103798
abril;2022;01/04/2022;0,248620053
maio;2022;01/05/2022;0,228129504
junho;2022;01/06/2022;0,227123127
julho;2022;01/07/2022;0,232072507
agosto;2022;01/08/2022;0,251127231
setembro;2022;01/09/2022;0,265053531
outubro;2022;01/10/2022;0,266850586
novembro;2022;01/11/2022;0,230104712
dezembro;2022;01/12/2022;0,240046494
janeiro;2021;01/01/2021;0,228224765
fevereiro;2021;01/02/2021;0,200710418
março;2021;01/03/2021;0,244146814
abril;2021;01/04/2021;0,230877897
maio;2021;01/05/2021;0,23099559
junho;2021;01/06/2021;0,239127863
julho;2021;01/07/2021;0,224287684
agosto;2021;01/08/2021;0,207904934
setembro;2021;01/09/2021;0,249010996
outubro;2021;01/10/2021;0,244533367
novembro;2021;01/11/2021;0,238405332
dezembro;2021;01/12/2021;0,220673288
janeiro;2020;01/01/2020;0,213906525
fevereiro;2020;01/02/2020;0,20810168
março;2020;01/03/2020;0,209834942
abril;2020;01/04/2020;0,219977157
maio;2020;01/05/2020;0,214522247
junho;2020;01/06/2020;0,220959646
julho;2020;01/07/2020;0,224504574
agosto;2020;01/08/2020;0,227739699
setembro;2020;01/09/2020;0,237159891
outubro;2020;01/10/2020;0,218681503
novembro;2020;01/11/2020;0,205448935
dezembro;2020;01/12/2020;0,209398869
janeiro;2019;01/01/2019;0,276134111
fevereiro;2019;01/02/2019;0,243405932
março;2019;01/03/2019;0,234472699
abril;2019;01/04/2019;0,22939426
maio;2019;01/05/2019;0,229448429
junho;2019;01/06/2019;0,23499682
julho;2019;01/07/2019;0,239047166
agosto;2019;01/08/2019;0,268988313
setembro;2019;01/09/2019;0,29734623
outubro;2019;01/10/2019;0,286437833
novembro;2019;01/11/2019;0,264683457
dezembro;2019;01/12/2019;0,257053795
janeiro;2018;01/01/2018;0,236961734
fevereiro;2018;01/02/2018;0,208659119
março;2018;01/03/2018;0,226699886
abril;2018;01/04/2018;0,216371635
maio;2018;01/05/2018;0,231389242
junho;2018;01/06/2018;0,236580829
julho;2018;01/07/2018;0,261911362
agosto;2018;01/08/2018;0,264717686
setembro;2018;01/09/2018;0,286312244
outubro;2018;01/10/2018;0,260735704
novembro;2018;01/11/2018;0,22264889
dezembro;2018;01/12/2018;0,232657879
janeiro;2017;01/01/2017;0,211042876
fevereiro;2017;01/02/2017;0,2017625
março;2017;01/03/2017;0,159447177
abril;2017;01/04/2017;0,045091204
maio;2017;01/05/2017;0,080396631
junho;2017;01/06/2017;0,167571252
julho;2017;01/07/2017;0,18167388
agosto;2017;01/08/2017;0,176078376
setembro;2017;01/09/2017;0,148935619
outubro;2017;01/10/2017;0,265003091
novembro;2017;01/11/2017;0,20809954
dezembro;2017;01/12/2017;0,218578439
janeiro;2016;01/01/2016;0,170533333
fevereiro;2016;01/02/2016;0,219261063
março;2016;01/03/2016;0,224378763
abril;2016;01/04/2016;0,181937302
maio;2016;01/05/2016;0,155157527
junho;2016;01/06/2016;0,152983056
julho;2016;01/07/2016;0,168208602
agosto;2016;01/08/2016;0,197318145
setembro;2016;01/09/2016;0,218163889
outubro;2016;01/10/2016;0,221247645
novembro;2016;01/11/2016;0,215685
dezembro;2016;01/12/2016;0,187246102
julho;2015;01/07/2015;0,00303293
agosto;2015;01/08/2015;0,148336694
setembro;2015;01/09/2015;0,203423333
outubro;2015;01/10/2015;0,233305653
novembro;2015;01/11/2015;0,226887083
dezembro;2015;01/12/2015;0,199599194
